thread,message,data_pos,data_top,line,column,author,time,possibly_truncated,comment,latex_offset_context,latex_context
T001,1,6125,,159,1,alexshauser,"8 June, 9:45 am",True,"Its a well written introduction, but I find the subheaders with single paragraphs a bit unconvention...",ing code. \end{abstract} % ============================================================ [[POS]]\section{Introduction}% \label{sec:introduction} % =======================================,\section{Introduction}%
T002,1,7569,,172,1,alexshauser,"8 June, 9:43 am",False,"Maybe Claude can also have the references in order, ie starting from [1",". The most prominent examples are circular fingerprints such as the Extended Connectivity [[POS]]Fingerprint~(ECFP)~\citep{rogersExtendedConnectivityFingerprints2010}, which hash the pres","Fingerprint~(ECFP)~\citep{rogersExtendedConnectivityFingerprints2010}, which"
T003,1,10107,,212,1,alexshauser,"8 June, 10:39 pm",False,more informative with parameter and dimension size?,key design choices alongside \model{}; \cref{sec:related-work} discusses them in detail. [[POS]] % ------ Table 1: molecular embedder comparison --------------- \begin{table}[htbp] \ce,
T004,1,13470,,281,1,alexshauser,"8 June, 9:50 am",False,It's closer to methods and results (implementation) rather than introduction at this point,odernbert{}-style encoder has not been systematically evaluated as a molecular embedder. [[POS]]\paragraph{Atom Pair Encoding.} Tokenization which is the mapping from a raw string to dis,\paragraph{Atom Pair Encoding.}
T005,1,14255,,291,25,alexshauser,"8 June, 9:52 am",False,ref fig 1 before fig 2,ry is a valid concatenation of complete \selfies{} symbols rather than a character-level a[[POS]]rtefact (\cref{fig:design}C). \ape{} thus occupies a middle ground: compact like subword t,than a character-level artefact (\cref{fig:design}C). \ape{} thus occupies a
T006,1,14410,,294,1,alexshauser,"8 June, 9:51 am",False,you don't reference figure 1 anywhere,"d: compact like subword tokenization, chemically principled like atom-level tokenization. [[POS]] \paragraph{Modernising the encoder architecture.} Many molecular string encoders such Che",
T007,1,15113,,303,53,alexshauser,"8 June, 9:53 am",False,maybe needs explanation on why RoPE can solve this limitation,"}-based molecular language modelling. Especially RoPE may be suited to molecular strings, [[POS]]where absolute sequence position is partly an artefact of the chosen graph traversal rathe","Especially RoPE may be suited to molecular strings, where absolute sequence"
T008,1,15940,,318,1,alexshauser,"8 June, 9:45 am",False,unconventional,"selfies{} embedder is an open question we examine in an ablation (\cref{sec:ablations}). [[POS]]\paragraph{Contributions.} We introduce \model{}, a compact family of encoder-only molecul",\paragraph{Contributions.}
T009,1,16754,,330,1,alexshauser,"8 June, 9:50 am",True,THe 'chemically principled like atom-level tokenization.' could be better represented in the APE mer...,e two molecular design choices that distinguish \model{} from prior \selfies{} encoders. [[POS]]\begin{figure}[htbp] \centering \includegraphics[width=\linewidth]{figures/Fig1_C} \,\begin{figure}[htbp]
T010,1,17078,,337,1,alexshauser,"8 June, 11:27 pm",False,"After MLM training, can you decode back to chemically valid molecules?","curated, canonicalised, and converted to \selfies{} strings, then pre-tokenized with [[POS]] the \selfies{}-adapted \ape{} tokenizer (\cref{fig:design}C). A \modernbert{} enco",the \selfies{}-adapted \ape{} tokenizer (\cref{fig:design}C). A
